"Group_name","IU_ID","IU_ID2"
"1","COG12814","COG12814"
"1","COG12822","COG12822"
"1","COG12823","COG12823"
"1","COG12824","COG12824"
"1","COG12825","COG12825"
"1","COG12826","COG12826"
"1","COG12828","COG12828"
"1","COG12829","COG12829"
"1","COG12830","COG12830"
"1","DJI58001","DJI58001"
"1","DJI58002","DJI58002"
"1","DJI58003","DJI58003"
"1","DJI58004","DJI58004"
"1","DJI58005","DJI58005"
"1","ERI17429","ERI17429"
"1","ERI17430","ERI17430"
"1","ERI17431","ERI17431"
"1","ERI17432","ERI17432"
"1","ERI17433","ERI17433"
"1","ERI17434","ERI17434"
"1","ERI17435","ERI17435"
"1","ERI17436","ERI17436"
"1","ERI17437","ERI17437"
"1","ERI17438","ERI17438"
"1","ERI17439","ERI17439"
"1","ERI17440","ERI17440"
"1","ERI17441","ERI17441"
"1","ERI17442","ERI17442"
"1","ERI17443","ERI17443"
"1","ERI17444","ERI17444"
"1","ERI17445","ERI17445"
"1","ERI17446","ERI17446"
"1","ERI17447","ERI17447"
"1","ERI17448","ERI17448"
"1","ERI17449","ERI17449"
"1","ERI17450","ERI17450"
"1","ERI17451","ERI17451"
"1","ERI17452","ERI17452"
"1","ERI17453","ERI17453"
"1","ERI17454","ERI17454"
"1","ERI17455","ERI17455"
"1","ERI17456","ERI17456"
"1","ERI17457","ERI17457"
"1","ERI17458","ERI17458"
"1","ERI17459","ERI17459"
"1","ERI17460","ERI17460"
"1","ERI17461","ERI17461"
"1","ERI17462","ERI17462"
"1","ERI17463","ERI17463"
"1","ERI17464","ERI17464"
"1","ERI17465","ERI17465"
"1","ERI17466","ERI17466"
"1","ERI17467","ERI17467"
"1","ERI17468","ERI17468"
"1","ERI17469","ERI17469"
"1","ERI17470","ERI17470"
"1","ERI17471","ERI17471"
"1","ERI17472","ERI17472"
"1","ERI17473","ERI17473"
"1","ERI17474","ERI17474"
"1","ERI17475","ERI17475"
"1","ERI17476","ERI17476"
"1","ERI17477","ERI17477"
"1","ERI17478","ERI17478"
"1","ERI17479","ERI17479"
"1","ERI17480","ERI17480"
"1","ERI17481","ERI17481"
"1","ERI17482","ERI17482"
"1","ERI17483","ERI17483"
"1","ERI17484","ERI17484"
"1","ERI17485","ERI17485"
"1","ERI17486","ERI17486"
"1","ETH18487","ETH18487"
"1","ETH18488","ETH18488"
"1","ETH18489","ETH18489"
"1","ETH18491","ETH18491"
"1","ETH18492","ETH18492"
"1","ETH18493","ETH18493"
"1","ETH18494","ETH18494"
"1","ETH18495","ETH18495"
"1","ETH18496","ETH18496"
"1","ETH18497","ETH18497"
"1","ETH18498","ETH18498"
"1","ETH18499","ETH18499"
"1","ETH18500","ETH18500"
"1","ETH18501","ETH18501"
"1","ETH18502","ETH18502"
"1","ETH18503","ETH18503"
"1","ETH18505","ETH18505"
"1","ETH18506","ETH18506"
"1","ETH18507","ETH18507"
"1","ETH18508","ETH18508"
"1","ETH18509","ETH18509"
"1","ETH18510","ETH18510"
"1","ETH18511","ETH18511"
"1","ETH18512","ETH18512"
"1","ETH18513","ETH18513"
"1","ETH18514","ETH18514"
"1","ETH18515","ETH18515"
"1","ETH18516","ETH18516"
"1","ETH18517","ETH18517"
"1","ETH18518","ETH18518"
"1","ETH18520","ETH18520"
"1","ETH18521","ETH18521"
"1","ETH18522","ETH18522"
"1","ETH18523","ETH18523"
"1","ETH18524","ETH18524"
"1","ETH18525","ETH18525"
"1","ETH18526","ETH18526"
"1","ETH18528","ETH18528"
"1","ETH18529","ETH18529"
"1","ETH18530","ETH18530"
"1","ETH18531","ETH18531"
"1","ETH18532","ETH18532"
"1","ETH18533","ETH18533"
"1","ETH18534","ETH18534"
"1","ETH18535","ETH18535"
"1","ETH18536","ETH18536"
"1","ETH18537","ETH18537"
"1","ETH18538","ETH18538"
"1","ETH18539","ETH18539"
"1","ETH18540","ETH18540"
"1","ETH18541","ETH18541"
"1","ETH18542","ETH18542"
"1","ETH18543","ETH18543"
"1","ETH18544","ETH18544"
"1","ETH18545","ETH18545"
"1","ETH18546","ETH18546"
"1","ETH18547","ETH18547"
"1","ETH18548","ETH18548"
"1","ETH18549","ETH18549"
"1","ETH18550","ETH18550"
"1","ETH18551","ETH18551"
"1","ETH18552","ETH18552"
"1","ETH18553","ETH18553"
"1","ETH18554","ETH18554"
"1","ETH18555","ETH18555"
"1","ETH18556","ETH18556"
"1","ETH18558","ETH18558"
"1","ETH18559","ETH18559"
"1","ETH18560","ETH18560"
"1","ETH18561","ETH18561"
"1","ETH18563","ETH18563"
"1","ETH18564","ETH18564"
"1","ETH18565","ETH18565"
"1","ETH18566","ETH18566"
"1","ETH18567","ETH18567"
"1","ETH18568","ETH18568"
"1","ETH18569","ETH18569"
"1","ETH18570","ETH18570"
"1","ETH18571","ETH18571"
"1","ETH18573","ETH18573"
"1","ETH18574","ETH18574"
"1","ETH18575","ETH18575"
"1","ETH18576","ETH18576"
"1","ETH18577","ETH18577"
"1","ETH18578","ETH18578"
"1","ETH18579","ETH18579"
"1","ETH18580","ETH18580"
"1","ETH18581","ETH18581"
"1","ETH18582","ETH18582"
"1","ETH18583","ETH18583"
"1","ETH18584","ETH18584"
"1","ETH18585","ETH18585"
"1","ETH18586","ETH18586"
"1","ETH18587","ETH18587"
"1","ETH18588","ETH18588"
"1","ETH18589","ETH18589"
"1","ETH18590","ETH18590"
"1","ETH18591","ETH18591"
"1","ETH18592","ETH18592"
"1","ETH18593","ETH18593"
"1","ETH18594","ETH18594"
"1","ETH18595","ETH18595"
"1","ETH18596","ETH18596"
"1","ETH18597","ETH18597"
"1","ETH18599","ETH18599"
"1","ETH18600","ETH18600"
"1","ETH18601","ETH18601"
"1","ETH18602","ETH18602"
"1","ETH18603","ETH18603"
"1","ETH18604","ETH18604"
"1","ETH18605","ETH18605"
"1","ETH18606","ETH18606"
"1","ETH18607","ETH18607"
"1","ETH18608","ETH18608"
"1","ETH18609","ETH18609"
"1","ETH18610","ETH18610"
"1","ETH18611","ETH18611"
"1","ETH18612","ETH18612"
"1","ETH18613","ETH18613"
"1","ETH18614","ETH18614"
"1","ETH18615","ETH18615"
"1","ETH18616","ETH18616"
"1","ETH18617","ETH18617"
"1","ETH18618","ETH18618"
"1","ETH18619","ETH18619"
"1","ETH18620","ETH18620"
"1","ETH18621","ETH18621"
"1","ETH18622","ETH18622"
"1","ETH18623","ETH18623"
"1","ETH18624","ETH18624"
"1","ETH18625","ETH18625"
"1","ETH18626","ETH18626"
"1","ETH18627","ETH18627"
"1","ETH18628","ETH18628"
"1","ETH18629","ETH18629"
"1","ETH18630","ETH18630"
"1","ETH18631","ETH18631"
"1","ETH18632","ETH18632"
"1","ETH18633","ETH18633"
"1","ETH18634","ETH18634"
"1","ETH18635","ETH18635"
"1","ETH18636","ETH18636"
"1","ETH18637","ETH18637"
"1","ETH18638","ETH18638"
"1","ETH18639","ETH18639"
"1","ETH18640","ETH18640"
"1","ETH18641","ETH18641"
"1","ETH18642","ETH18642"
"1","ETH18643","ETH18643"
"1","ETH18644","ETH18644"
"1","ETH18645","ETH18645"
"1","ETH18646","ETH18646"
"1","ETH18647","ETH18647"
"1","ETH18648","ETH18648"
"1","ETH18649","ETH18649"
"1","ETH18650","ETH18650"
"1","ETH18651","ETH18651"
"1","ETH18652","ETH18652"
"1","ETH18653","ETH18653"
"1","ETH18654","ETH18654"
"1","ETH18655","ETH18655"
"1","ETH18656","ETH18656"
"1","ETH18657","ETH18657"
"1","ETH18658","ETH18658"
"1","ETH18659","ETH18659"
"1","ETH18660","ETH18660"
"1","ETH18661","ETH18661"
"1","ETH18662","ETH18662"
"1","ETH18663","ETH18663"
"1","ETH18664","ETH18664"
"1","ETH18665","ETH18665"
"1","ETH18666","ETH18666"
"1","ETH18667","ETH18667"
"1","ETH18668","ETH18668"
"1","ETH18669","ETH18669"
"1","ETH18670","ETH18670"
"1","ETH18671","ETH18671"
"1","ETH18672","ETH18672"
"1","ETH18673","ETH18673"
"1","ETH18674","ETH18674"
"1","ETH18675","ETH18675"
"1","ETH18676","ETH18676"
"1","ETH18678","ETH18678"
"1","ETH18680","ETH18680"
"1","ETH18681","ETH18681"
"1","ETH18682","ETH18682"
"1","ETH18683","ETH18683"
"1","ETH18684","ETH18684"
"1","ETH18686","ETH18686"
"1","ETH18688","ETH18688"
"1","ETH18689","ETH18689"
"1","ETH18690","ETH18690"
"1","ETH18691","ETH18691"
"1","ETH18692","ETH18692"
"1","ETH18695","ETH18695"
"1","ETH18699","ETH18699"
"1","ETH18700","ETH18700"
"1","ETH18701","ETH18701"
"1","ETH18702","ETH18702"
"1","ETH18703","ETH18703"
"1","ETH18704","ETH18704"
"1","ETH18707","ETH18707"
"1","ETH18714","ETH18714"
"1","ETH18715","ETH18715"
"1","ETH18717","ETH18717"
"1","ETH18718","ETH18718"
"1","ETH18721","ETH18721"
"1","ETH18723","ETH18723"
"1","ETH18725","ETH18725"
"1","ETH18726","ETH18726"
"1","ETH18732","ETH18732"
"1","ETH18736","ETH18736"
"1","ETH18738","ETH18738"
"1","ETH18739","ETH18739"
"1","ETH18740","ETH18740"
"1","ETH18741","ETH18741"
"1","ETH18742","ETH18742"
"1","ETH18743","ETH18743"
"1","ETH18744","ETH18744"
"1","ETH18746","ETH18746"
"1","ETH18747","ETH18747"
"1","ETH18748","ETH18748"
"1","ETH18750","ETH18750"
"1","ETH18751","ETH18751"
"1","ETH18753","ETH18753"
"1","ETH18754","ETH18754"
"1","ETH18755","ETH18755"
"1","ETH18756","ETH18756"
"1","ETH18757","ETH18757"
"1","ETH18759","ETH18759"
"1","ETH18760","ETH18760"
"1","ETH18762","ETH18762"
"1","ETH18763","ETH18763"
"1","ETH18764","ETH18764"
"1","ETH18766","ETH18766"
"1","ETH18767","ETH18767"
"1","ETH18770","ETH18770"
"1","ETH18771","ETH18771"
"1","ETH18772","ETH18772"
"1","ETH18773","ETH18773"
"1","ETH18774","ETH18774"
"1","ETH18775","ETH18775"
"1","ETH18777","ETH18777"
"1","ETH18778","ETH18778"
"1","ETH18780","ETH18780"
"1","ETH18781","ETH18781"
